word	file	lines
BibTex	getting_started.md	489
bookdown	getting_started.md	3,37,504,523,599,648,696,736,835,890,1035
commiting	getting_started.md	159
coursera	getting_started.md	63
Dockerfile	getting_started.md	32,33,425,429,435,463,474,481,525
Dockerhub	getting_started.md	28,292,300,423,427,474
DocToc	getting_started.md	19
doi	getting_started.md	489
Dont	getting_started.md	175
Endnote	getting_started.md	493
github	getting_started.md	271,939,1035
Github	getting_started.md	13,27,36,43,63,244,273,275,277,279,279,281,283,294,306,310,334,510,512,517,527,536,545,549,572,577,594,602,890,931,933,939,1033
gitignore	getting_started.md	612
Gooding	getting_started.md	882
GoogleSlides	getting_started.md	698,738,835
hight	getting_started.md	761
HTTPS	getting_started.md	218
imposter	getting_started.md	621
jhuDaSL	getting_started.md	632,639
leanpub	getting_started.md	998
ottrpal	getting_started.md	1025
provded	getting_started.md	792
PRs	getting_started.md	250,252
pwd	getting_started.md	377,383
reconfiguring	getting_started.md	262
repo	getting_started.md	73,105,261,271,383,628,633,640,895
repos	getting_started.md	553
RMarkdown	getting_started.md	15
Rstudio	getting_started.md	149
StackOverflow	getting_started.md	414
styler	getting_started.md	44,604
TSV	getting_started.md	582
uncomment	getting_started.md	422,533,542
Uncomment	getting_started.md	560
unenroll	getting_started.md	270
UseR	getting_started.md	13
yaml	getting_started.md	895,1025
yml	getting_started.md	37,523,890,998,1003,1035
youtube	getting_started.md	777,785,786,792
Zotero	getting_started.md	493
