url	chapt_title	img_path
https://jhudatascience.org/Informatics_Research_Leadership/index.html	About this course	resources/chapt_screen_images/index.png
https://jhudatascience.org/Informatics_Research_Leadership/introduction.html	1 Introduction	resources/chapt_screen_images/introduction.png
https://jhudatascience.org/Informatics_Research_Leadership/guidelines-for-multidisciplinary-informatics-teams.html	2 Guidelines for multidisciplinary informatics teams	resources/chapt_screen_images/guidelines-for-multidisciplinary-informatics-teams.png
https://jhudatascience.org/Informatics_Research_Leadership/informatics-project-guidelines.html	3 Informatics project guidelines	resources/chapt_screen_images/informatics-project-guidelines.png
https://jhudatascience.org/Informatics_Research_Leadership/informatics-relationships.html	4 Informatics relationships	resources/chapt_screen_images/informatics-relationships.png
https://jhudatascience.org/Informatics_Research_Leadership/promoting-diversity-equity-and-inclusion.html	5 Promoting diversity, equity, and inclusion	resources/chapt_screen_images/promoting-diversity-equity-and-inclusion.png
https://jhudatascience.org/Informatics_Research_Leadership/informatics-lab-management-tools.html	6 Informatics lab management tools	resources/chapt_screen_images/informatics-lab-management-tools.png
https://jhudatascience.org/Informatics_Research_Leadership/about-the-authors.html	About the authors	resources/chapt_screen_images/about-the-authors.png
https://jhudatascience.org/Informatics_Research_Leadership/references.html	References	resources/chapt_screen_images/references.png
